Week starting,App,Downloads,Install Base,Open Rate,Retention D1,Retention D7,Retention D30,Active Users,Total Minutes,Avg Sessions Per User,Avg Session Duration,Avg Time Per User,Avg Active Days              
5/20/2016,Tahoe,451945,25555835,24.43%,29.91%,14.95%,8.23%,6243309,140479047,17.08,00:01:27,00:22:30,2.68
5/27/2016,Tahoe,443638,25754211,24.15%,29.91%,14.95%,8.23%,6220034,124848634,16.24,00:01:21,00:20:04,2.56
6/3/2016,Tahoe,410718,25907633,24.11%,29.91%,14.95%,8.23%,6247026,124731525,16.72,00:01:16,00:19:58,2.61
6/10/2016,Tahoe,402211,26231356,24.06%,29.86%,13.01%,6.56%,6311968,120468587,17.37,00:01:12,00:19:05,2.58
6/17/2016,Tahoe,425742,26190892,23.92%,29.81%,10.93%,4.77%,6265416,114074823,17.56,00:01:07,00:18:12,2.66
6/24/2016,Tahoe,409584,26377877,24.20%,29.81%,10.93%,4.77%,6383522,134744840,17.07,00:01:19,00:21:06,2.51
7/1/2016,Tahoe,395172,26309864,23.95%,29.81%,10.93%,4.77%,6301463,102970085,16.55,00:01:02,00:16:20,2.54
7/8/2016,Tahoe,395929,26320301,24.04%,29.81%,10.93%,4.77%,6327197,106216506,16.31,00:01:05,00:16:47,2.54
7/15/2016,Tahoe,404079,26401399,23.67%,32.01%,11.59%,5.83%,6248966,101084982,16.33,00:01:02,00:16:11,2.54
7/22/2016,Tahoe,421830,26765524,23.38%,34.18%,12.24%,6.87%,6257498,109960103,16.07,00:01:10,00:17:34,2.62
7/29/2016,Tahoe,425630,26568673,23.63%,34.18%,12.24%,6.87%,6277145,102082652,16.82,00:01:00,00:16:16,2.61
8/5/2016,Tahoe,428645,26551352,23.72%,34.18%,12.24%,6.87%,6297401,114398444,17.84,00:01:03,00:18:10,2.53
8/12/2016,Tahoe,394954,26940813,23.20%,31.77%,12.84%,6.23%,6251468,112059316,16.55,00:01:09,00:17:56,2.5
8/19/2016,Tahoe,398486,26873678,22.79%,29.11%,13.51%,5.52%,6123765,129894578,16.97,00:01:18,00:21:13,2.52
8/26/2016,Tahoe,397848,27014327,22.50%,29.11%,13.51%,5.52%,6079523,111312247,17.57,00:01:05,00:18:19,2.61
9/2/2016,Tahoe,394469,26824506,22.66%,29.11%,13.51%,5.52%,6078347,119662339,16.64,00:01:13,00:19:41,2.52
9/9/2016,Tahoe,384440,26926429,22.46%,29.93%,12.68%,6.30%,6048788,114255557,15.71,00:01:16,00:18:53,2.51
9/16/2016,Tahoe,393134,26600959,22.26%,30.73%,11.88%,7.06%,5922545,102225574,15.59,00:01:08,00:17:16,2.48
9/23/2016,Tahoe,422508,26778161,22.15%,30.73%,11.88%,7.06%,5931298,119457576,16.54,00:01:15,00:20:08,2.55
9/30/2016,Tahoe,406099,26695505,22.37%,30.73%,11.88%,7.06%,5971930,120707626,17.01,00:01:13,00:20:13,2.46
10/7/2016,Tahoe,387856,26845569,22.01%,30.73%,11.88%,7.06%,5909226,105918859,15.58,00:01:11,00:17:55,2.41
10/14/2016,Tahoe,376012,27052652,22.01%,31.90%,14.04%,7.85%,5953593,111358498,16.09,00:01:11,00:18:42,2.45
10/21/2016,Tahoe,389335,26974142,21.92%,33.02%,16.10%,8.60%,5913511,104117717,15.62,00:01:09,00:17:36,2.52
10/28/2016,Tahoe,378877,26884585,22.04%,33.02%,16.10%,8.60%,5926312,109582342,16.75,00:01:09,00:18:29,2.54
11/4/2016,Tahoe,375269,26275061,22.50%,33.02%,16.10%,8.60%,,109516515,17.07,00:01:08,00:18:32,2.59
11/11/2016,Tahoe,373411,27457381,21.63%,29.96%,15.37%,8.60%,,106405015,16.83,00:01:08,00:17:55,2.58
11/18/2016,Tahoe,354134,27301417,21.65%,26.78%,14.60%,n/a,,115942909,16.84,00:01:15,00:19:37,2.62
11/25/2016,Tahoe,345274,27035271,22.04%,26.78%,14.60%,n/a,,108802581,16.88,00:01:10,00:18:16,2.63
12/2/2016,Tahoe,410026,27207576,21.60%,26.78%,14.60%,n/a,,115976512,17.81,00:01:11,00:19:44,2.73
12/9/2016,Tahoe,401572,27047841,21.85%,26.78%,14.60%,n/a,,111951099,17.67,00:01:10,00:18:57,2.66
12/16/2016,Tahoe,391990,27179727,21.38%,n/a,n/a,n/a,,117321579,17.61,00:01:13,00:20:11,2.74
12/23/2016,Tahoe,386527,n/a,n/a,n/a,n/a,n/a,,n/a,n/a,n/a,n/a,n/a
1/1/2016,Ural,559933,59052714,30.53%,42.71%,27.92%,20.79%,27401110,1240773201,30.71,00:01:41,00:45:17,3.78
1/8/2016,Ural,614211,59136908,46.37%,42.71%,27.92%,20.79%,27424140,1404383489,30.55,00:01:56,00:51:13,3.77
1/15/2016,Ural,617968,60240134,45.69%,41.65%,28.11%,22.82%,27524864,1291769006,30.7,00:01:43,00:46:56,3.76
1/22/2016,Ural,635668,60409435,45.49%,41.09%,28.21%,23.89%,27478790,1368756432,29.71,00:01:56,00:49:49,3.74
1/29/2016,Ural,635964,60142715,30.26%,41.09%,28.21%,23.89%,27668949,1353433061,30.18,00:01:51,00:48:55,3.79
2/5/2016,Ural,731153,60817562,46.09%,41.09%,28.21%,23.89%,28027966,1379322923,28.93,00:01:52,00:49:13,3.63
2/12/2016,Ural,730621,61943091,46.23%,40.24%,27.09%,21.48%,28633999,1172635632,30.43,00:01:29,00:40:57,3.78
2/19/2016,Ural,666987,62665089,46.08%,39.47%,26.08%,19.29%,28878960,1227299494,29.8,00:01:35,00:42:30,3.81
2/26/2016,Ural,643833,62603139,30.44%,39.47%,26.08%,19.29%,28994935,1060934302,30.39,00:01:17,00:36:35,3.76
3/4/2016,Ural,786154,62989544,46.69%,39.47%,26.08%,19.29%,29412622,1183519710,30.98,00:01:22,00:40:14,3.72
3/11/2016,Ural,1064414,63581510,46.09%,39.47%,26.08%,19.29%,29307640,1212070099,28.88,00:01:31,00:41:21,3.57
3/18/2016,Ural,745523,65066351,44.95%,39.41%,24.05%,22.88%,29245298,1151881312,29.4,00:01:25,00:39:23,3.64
3/25/2016,Ural,645366,64843834,45.70%,39.41%,24.05%,22.88%,29633188,1417974805,31.01,00:01:40,00:47:51,3.81
4/1/2016,Ural,636402,65165146,46.30%,39.41%,24.05%,22.88%,30172127,1159251261,29.44,00:01:26,00:38:25,3.8
4/8/2016,Ural,649049,64965874,46.65%,39.41%,24.05%,22.88%,30308063,1078558150,30.64,00:01:14,00:35:35,3.87
4/15/2016,Ural,625339,65596395,46.70%,40.60%,24.55%,22.18%,30634782,1188225250,31.08,00:01:21,00:38:47,3.9
4/22/2016,Ural,627217,65022695,46.83%,41.89%,25.10%,21.41%,30450033,1220121104,31.09,00:01:23,00:40:04,3.9
4/29/2016,Ural,655397,65057701,47.40%,41.89%,25.10%,21.41%,30838272,1423110890,31.69,00:01:37,00:46:09,3.91
5/6/2016,Ural,718549,65368634,47.30%,41.89%,25.10%,21.41%,30917053,1255586443,30.11,00:01:32,00:40:37,3.9
5/13/2016,Ural,703514,65848529,47.21%,41.47%,26.06%,18.99%,31085999,1388891499,29.84,00:01:44,00:44:41,3.94
5/20/2016,Ural,732559,66273008,47.37%,41.11%,26.90%,16.86%,31391403,1104302719,29.83,00:01:16,00:35:11,3.87
5/27/2016,Ural,728090,66204273,46.69%,41.11%,26.90%,16.86%,30913574,1449622729,28.55,00:01:54,00:46:54,3.81
6/3/2016,Ural,717500,66127993,47.65%,41.11%,26.90%,16.86%,31509134,1395131635,29.43,00:01:44,00:44:17,3.89
6/10/2016,Ural,658614,66918664,47.26%,39.51%,26.22%,18.91%,31627462,1354688458,29.7,00:01:38,00:42:50,3.9
6/17/2016,Ural,686022,66927320,47.13%,37.87%,25.52%,21.02%,31544657,1300259298,29.65,00:01:34,00:41:13,3.89
6/24/2016,Ural,628853,66822979,47.83%,37.87%,25.52%,21.02%,31961448,1181118596,31.09,00:01:16,00:36:57,3.83
7/1/2016,Ural,639984,66686570,47.20%,37.87%,25.52%,21.02%,31473369,1198200560,29.92,00:01:25,00:38:04,3.88
7/8/2016,Ural,600549,66569945,47.40%,37.87%,25.52%,21.02%,31551043,1202369678,29.49,00:01:26,00:38:07,3.85
7/15/2016,Ural,609536,66505375,47.10%,39.94%,27.71%,23.38%,31324014,1414201582,28.94,00:01:50,00:45:09,3.88
7/22/2016,Ural,636180,67151748,46.91%,41.96%,29.83%,25.66%,31497878,1220095939,29.66,00:01:27,00:38:44,3.86
7/29/2016,Ural,630900,66742739,47.41%,41.96%,29.83%,25.66%,31639812,1298166547,29.52,00:01:34,00:41:02,3.89
8/5/2016,Ural,647886,66818743,47.31%,41.96%,29.83%,25.66%,31614698,1256967025,31.07,00:01:23,00:39:46,3.81
8/12/2016,Ural,654427,67438835,47.28%,40.76%,25.07%,21.63%,31888005,1540463729,29.01,00:01:54,00:48:19,3.75
8/19/2016,Ural,645947,67575370,46.91%,39.55%,20.21%,17.54%,31698489,1238691376,30.35,00:01:23,00:39:05,3.8
8/26/2016,Ural,664646,67994250,47.03%,39.55%,20.21%,17.54%,31978644,1584927632,30.56,00:01:47,00:49:34,3.81
9/2/2016,Ural,671042,67970758,46.72%,39.55%,20.21%,17.54%,31753641,1344429194,30.63,00:01:28,00:42:20,3.8
9/9/2016,Ural,633977,68738839,47.10%,40.16%,20.94%,17.56%,32374590,1288695740,30.58,00:01:23,00:39:48,3.79
9/16/2016,Ural,688447,68225156,47.48%,40.75%,21.64%,17.57%,32390412,1372526369,30.63,00:01:27,00:42:22,3.72
9/23/2016,Ural,660703,68631805,46.97%,40.75%,21.64%,17.57%,32239364,1458031509,32.88,00:01:27,00:45:14,3.79
9/30/2016,Ural,639988,68782150,47.08%,40.75%,21.64%,17.57%,32379927,1514922902,33.1,00:01:29,00:46:47,3.79
10/7/2016,Ural,640078,69403900,47.04%,40.75%,21.64%,17.57%,32646063,1498563493,32.55,00:01:28,00:45:54,3.77
10/14/2016,Ural,611508,70163113,47.42%,41.33%,24.06%,19.67%,33272052,1495785437,32.37,00:01:27,00:44:57,3.76
10/21/2016,Ural,645244,70194211,47.55%,41.89%,26.36%,21.66%,33379578,1521400557,32.74,00:01:27,00:45:35,3.77
10/28/2016,Ural,623585,70424961,47.77%,41.89%,26.36%,21.66%,33639068,1519346958,32.84,00:01:27,00:45:10,3.82
11/4/2016,Ural,621263,69654027,47.97%,41.89%,26.36%,21.66%,33410498,1487824796,33.31,00:01:25,00:44:32,3.84
11/11/2016,Ural,593626,71457904,46.91%,39.96%,25.26%,21.66%,33520693,1489047854,32.85,00:01:26,00:44:25,3.84
11/18/2016,Ural,567417,71307119,47.51%,37.97%,24.12%,n/a,33874971,1476018072,31.6,00:01:28,00:43:34,3.77
11/25/2016,Ural,590779,71321678,46.96%,37.97%,24.12%,n/a,33491806,1527147062,32.72,00:01:29,00:45:36,3.88
12/2/2016,Ural,736964,71186698,47.06%,37.97%,24.12%,n/a,33498559,1524832387,33.55,00:01:28,00:45:31,3.92
12/9/2016,Ural,755764,71315707,46.98%,37.97%,24.12%,n/a,33505039,1534615768,33.33,00:01:29,00:45:48,3.88
12/16/2016,Ural,700929,71462002,46.84%,n/a,n/a,n/a,33470019,1539336125,32.96,00:01:30,00:45:59,3.89
12/23/2016,Ural,662006,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
1/1/2016,Volta,30230,7064389,58.29%,65.00%,52.54%,50.70%,4117599,30100092,6.97,00:01:05,00:07:19,4.94
1/8/2016,Volta,31597,6995282,57.91%,65.00%,52.54%,50.70%,4051144,30348213,7.05,00:01:05,00:07:29,5.01
1/15/2016,Volta,31955,6999861,58.64%,61.32%,51.51%,48.93%,4104628,31261478,7.07,00:01:07,00:07:37,5.01
1/22/2016,Volta,28995,6948902,57.80%,59.36%,50.97%,47.98%,4016473,30612772,7.23,00:01:05,00:07:37,5.09
1/29/2016,Volta,30050,6967953,58.77%,59.36%,50.97%,47.98%,4095234,31732155,7.36,00:01:05,00:07:45,5
2/5/2016,Volta,29972,6941937,58.44%,59.36%,50.97%,47.98%,4056971,36277789,7.52,00:01:13,00:08:57,4.99
2/12/2016,Volta,28621,6909474,58.66%,59.60%,49.07%,50.05%,4053202,30811674,7.15,00:01:05,00:07:36,4.98
2/19/2016,Volta,27938,6941615,56.90%,59.84%,47.19%,52.11%,3949444,30335079,7.08,00:01:07,00:07:41,5.06
2/26/2016,Volta,25394,6943072,57.20%,59.84%,47.19%,52.11%,3971637,30066036,7.33,00:01:04,00:07:34,5.01
3/4/2016,Volta,25898,6944627,58.23%,59.84%,47.19%,52.11%,4043887,33989971,7.41,00:01:10,00:08:24,4.92
3/11/2016,Volta,29549,6873629,56.03%,59.84%,47.19%,52.11%,3851359,29284052,7.17,00:01:05,00:07:36,4.98
3/18/2016,Volta,29101,6911684,55.86%,n/a,n/a,n/a,3861122,26213271,7.18,00:00:58,00:06:47,4.9
3/25/2016,Volta,18712,6813369,54.95%,n/a,n/a,n/a,3743954,21670385,6.68,00:00:53,00:05:47,4.83
4/1/2016,Volta,19202,6711720,55.51%,n/a,n/a,n/a,3725745,21772633,6.93,00:00:51,00:05:51,5.03
4/8/2016,Volta,18414,6628013,55.12%,n/a,n/a,n/a,3653593,21929044,6.89,00:00:53,00:06:00,5.16
4/15/2016,Volta,18123,6507755,55.69%,n/a,n/a,n/a,3624094,20837061,6.78,00:00:51,00:05:45,5.07
4/22/2016,Volta,19781,6410433,55.68%,n/a,n/a,n/a,3569121,22552371,6.79,00:00:57,00:06:19,5.03
4/29/2016,Volta,21001,6346966,55.37%,n/a,n/a,n/a,3514308,25484615,6.87,00:01:05,00:07:15,4.87
5/6/2016,Volta,19433,6344989,54.78%,n/a,n/a,n/a,3475903,23746758,6.73,00:01:03,00:06:50,5.04
5/13/2016,Volta,19554,6345918,55.91%,n/a,n/a,n/a,3547955,22647581,6.87,00:00:57,00:06:23,5.27
5/20/2016,Volta,20341,6320529,55.81%,n/a,n/a,n/a,3527235,23954707,7.06,00:00:59,00:06:47,5.25
5/27/2016,Volta,20873,6251953,55.30%,n/a,n/a,n/a,3457297,24737005,7.09,00:01:02,00:07:09,5.15
6/3/2016,Volta,20459,6147999,55.08%,n/a,n/a,n/a,3386196,23814693,7.01,00:01:03,00:07:02,5.21
6/10/2016,Volta,19142,6136812,55.28%,n/a,n/a,n/a,3392545,27236678,7.34,00:01:08,00:08:02,5.23
6/17/2016,Volta,18740,6116318,55.06%,n/a,n/a,n/a,3367466,25050121,7.13,00:01:06,00:07:26,5.05
6/24/2016,Volta,17655,6033771,56.68%,n/a,n/a,n/a,3419800,24262003,7.14,00:01:02,00:07:06,5
7/1/2016,Volta,18070,5968657,56.86%,n/a,n/a,n/a,3393843,24897951,7.03,00:01:05,00:07:20,4.98
7/8/2016,Volta,17556,5915200,56.08%,n/a,n/a,n/a,3317142,22733628,6.59,00:01:06,00:06:51,4.87
7/15/2016,Volta,17234,5829148,55.63%,n/a,n/a,n/a,3242746,22537283,7.24,00:01:00,00:06:57,5.03
7/22/2016,Volta,15970,5904462,55.69%,n/a,n/a,n/a,3288007,20834697,6.69,00:00:59,00:06:20,4.97
7/29/2016,Volta,14707,5657869,57.77%,n/a,n/a,n/a,3268799,22416585,6.9,00:01:02,00:06:51,5.11
8/5/2016,Volta,14354,5635279,56.40%,n/a,n/a,n/a,3178404,22808588,7.12,00:01:02,00:07:11,5.01
8/12/2016,Volta,16459,5628055,56.77%,n/a,n/a,n/a,3195085,25313550,6.78,00:01:13,00:07:55,5.08
8/19/2016,Volta,16372,5607771,55.81%,n/a,n/a,n/a,3129473,23741031,6.74,00:01:10,00:07:35,5.07
8/26/2016,Volta,15594,5568197,56.39%,n/a,n/a,n/a,3140178,25384908,7.06,00:01:10,00:08:05,5.03
9/2/2016,Volta,14369,5511692,55.95%,n/a,n/a,n/a,3083792,22751664,6.92,00:01:06,00:07:23,5.12
9/9/2016,Volta,14598,5463772,56.74%,n/a,n/a,n/a,3100248,23688467,7.17,00:01:05,00:07:38,5.11
9/16/2016,Volta,15745,5360783,57.42%,n/a,n/a,n/a,3078140,24031604,7.28,00:01:05,00:07:48,5.04
9/23/2016,Volta,14222,5341903,56.86%,n/a,n/a,n/a,3037391,23124888,7.23,00:01:04,00:07:37,4.87
9/30/2016,Volta,14215,5213761,57.96%,n/a,n/a,n/a,3021942,23292181,7.21,00:01:05,00:07:42,5
10/7/2016,Volta,14594,5216532,56.88%,n/a,n/a,n/a,2967417,21405569,7.08,00:01:02,00:07:13,4.95
10/14/2016,Volta,14233,5305117,56.75%,n/a,n/a,n/a,3010493,25030364,7.53,00:01:07,00:08:19,5.11
10/21/2016,Volta,14503,5182986,57.16%,n/a,n/a,n/a,2962583,25702322,7.61,00:01:09,00:08:41,5.22
10/28/2016,Volta,13208,5158638,56.96%,n/a,n/a,n/a,2938490,24939364,7.64,00:01:08,00:08:29,5.05
11/4/2016,Volta,13037,4856063,56.23%,n/a,n/a,n/a,,22226416,7.66,00:01:05,00:08:08,5.09
11/11/2016,Volta,12036,5065821,54.96%,n/a,n/a,n/a,,23630444,7.69,00:01:08,00:08:29,5.17
11/18/2016,Volta,10708,5049427,56.95%,n/a,n/a,n/a,,23622075,7.7,00:01:05,00:08:13,5.15
11/25/2016,Volta,11331,5001577,58.07%,n/a,n/a,n/a,,25399833,7.68,00:01:09,00:08:45,5.15
12/2/2016,Volta,11945,4952826,56.99%,n/a,n/a,n/a,,25266661,7.79,00:01:10,00:08:57,5.36
12/9/2016,Volta,12350,4924572,57.21%,n/a,n/a,n/a,,24049134,7.75,00:01:07,00:08:32,5.25
12/16/2016,Volta,11771,4983374,56.26%,n/a,n/a,n/a,,23420995,7.74,00:01:06,00:08:21,5.12
12/23/2016,Volta,11997,n/a,n/a,n/a,n/a,n/a,,n/a,n/a,n/a,n/a,n/a
1/1/2016,Winnipeg,158127,18012841,36.74%,44.76%,29.67%,22.19%,6617460,532055220,28.5,00:02:51,01:20:24,3.69
1/8/2016,Winnipeg,151538,17947255,37.33%,44.76%,29.67%,22.19%,6699124,541916357,26.64,00:03:06,01:20:54,3.59
1/15/2016,Winnipeg,159790,18013319,36.75%,44.78%,24.22%,19.36%,6619182,558430055,28.77,00:02:57,01:24:22,3.68
1/22/2016,Winnipeg,161738,18030011,37.76%,44.79%,21.42%,17.91%,6808176,558455627,29.24,00:02:49,01:22:02,3.66
1/29/2016,Winnipeg,163494,17958259,38.18%,44.79%,21.42%,17.91%,6855647,555707438,28.7,00:02:49,01:21:04,3.7
2/5/2016,Winnipeg,169538,17951967,38.42%,44.79%,21.42%,17.91%,6897523,597642864,28.39,00:03:07,01:26:39,3.62
2/12/2016,Winnipeg,166816,18051996,38.30%,42.34%,22.28%,19.13%,6914395,559307585,29.34,00:02:46,01:20:53,3.67
2/19/2016,Winnipeg,144428,18329832,37.60%,40.04%,23.09%,20.27%,6892316,560678497,28.7,00:02:51,01:21:21,3.67
2/26/2016,Winnipeg,160129,18409808,38.42%,40.04%,23.09%,20.27%,7073493,596588243,28.17,00:03:01,01:24:20,3.61
3/4/2016,Winnipeg,179101,18359156,38.12%,40.04%,23.09%,20.27%,6998898,625857954,29.36,00:03:05,01:29:25,3.61
3/11/2016,Winnipeg,216760,18333606,38.75%,40.04%,23.09%,20.27%,7103764,673149694,30.48,00:03:11,01:34:46,3.64
3/18/2016,Winnipeg,197095,18666033,38.97%,39.33%,28.02%,19.26%,7274962,669106885,31.63,00:02:57,01:31:58,3.62
3/25/2016,Winnipeg,186821,18695850,38.39%,39.33%,28.02%,19.26%,7176437,660710877,29.7,00:03:10,01:32:04,3.63
4/1/2016,Winnipeg,179884,18731334,38.76%,39.33%,28.02%,19.26%,7260362,642256115,29.47,00:03:05,01:28:28,3.61
4/8/2016,Winnipeg,170973,18917907,38.00%,39.33%,28.02%,19.26%,7188385,623565172,29.48,00:03:00,01:26:45,3.64
4/15/2016,Winnipeg,161632,19058093,37.30%,38.86%,25.17%,20.00%,7107959,618630623,29.75,00:02:58,01:27:02,3.66
4/22/2016,Winnipeg,164048,18815472,38.32%,38.33%,21.98%,20.82%,7209764,605265574,29.49,00:02:53,01:23:57,3.64
4/29/2016,Winnipeg,151419,18640862,38.62%,38.33%,21.98%,20.82%,7199087,620037429,29.31,00:03:02,01:26:08,3.59
5/6/2016,Winnipeg,154564,18615870,38.67%,38.33%,21.98%,20.82%,7198951,632753128,29.03,00:03:09,01:27:54,3.67
5/13/2016,Winnipeg,157726,18670893,38.32%,39.32%,20.33%,17.70%,7155458,617159578,29.76,00:02:58,01:26:15,3.63
5/20/2016,Winnipeg,164459,18499996,38.35%,40.22%,18.83%,14.88%,7095577,600223888,30.48,00:02:49,01:24:35,3.69
5/27/2016,Winnipeg,160366,18470653,38.69%,40.22%,18.83%,14.88%,7145419,610303791,29.88,00:02:54,01:25:25,3.66
6/3/2016,Winnipeg,155989,18492562,38.32%,40.22%,18.83%,14.88%,7086972,635527638,29.53,00:03:07,01:29:41,3.68
6/10/2016,Winnipeg,146497,18424355,38.84%,39.33%,19.88%,16.31%,7156559,614195008,30.7,00:02:49,01:25:49,3.58
6/17/2016,Winnipeg,145067,18290133,38.66%,38.39%,20.98%,17.82%,7070327,645153549,30.59,00:03:07,01:31:15,3.65
6/24/2016,Winnipeg,139925,18054844,38.84%,38.39%,20.98%,17.82%,7011751,635505969,31.87,00:02:54,01:30:38,3.73
7/1/2016,Winnipeg,143380,17929098,40.52%,38.39%,20.98%,17.82%,7265654,650131466,31.63,00:02:53,01:29:29,3.7
7/8/2016,Winnipeg,138294,17855533,40.69%,38.39%,20.98%,17.82%,7265277,669349648,32.35,00:02:55,01:32:08,3.73
7/15/2016,Winnipeg,131591,17658912,39.89%,38.93%,21.23%,17.36%,7043864,641263173,32.23,00:02:53,01:31:02,3.8
7/22/2016,Winnipeg,132684,18004765,39.26%,39.46%,21.47%,16.90%,7068928,640428405,31.79,00:02:53,01:30:36,3.79
7/29/2016,Winnipeg,133234,17841058,40.28%,39.46%,21.47%,16.90%,7186695,659021545,31.52,00:03:03,01:31:42,3.78
8/5/2016,Winnipeg,135447,17770232,40.25%,39.46%,21.47%,16.90%,7151914,655937491,33.06,00:02:48,01:31:43,3.76
8/12/2016,Winnipeg,148264,17950679,39.95%,39.90%,22.23%,16.42%,7171844,702966646,33.21,00:03:03,01:38:01,3.77
8/19/2016,Winnipeg,163352,18044177,40.33%,40.37%,23.03%,15.93%,7277846,737297480,32.83,00:03:17,01:41:18,3.71
8/26/2016,Winnipeg,152548,18224739,39.82%,40.37%,23.03%,15.93%,7257770,711408059,32.25,00:03:09,01:38:01,3.76
9/2/2016,Winnipeg,150468,18138918,39.34%,40.37%,23.03%,15.93%,7135847,700396056,32.66,00:03:06,01:38:09,3.76
9/9/2016,Winnipeg,144860,18143348,39.61%,42.19%,24.61%,16.14%,7186764,679534250,31.26,00:03:08,01:34:33,3.85
9/16/2016,Winnipeg,145837,17797081,41.26%,43.96%,26.14%,16.34%,7342508,710798487,30.9,00:03:15,01:36:48,3.77
9/23/2016,Winnipeg,147686,17975510,40.87%,43.96%,26.14%,16.34%,7346049,709361650,31.4,00:03:11,01:36:34,3.75
9/30/2016,Winnipeg,146365,17829339,41.40%,43.96%,26.14%,16.34%,7382000,725420207,31.88,00:03:08,01:38:16,3.78
10/7/2016,Winnipeg,152412,17867931,41.40%,43.96%,26.14%,16.34%,7396890,733194833,33.01,00:03:03,01:39:07,3.77
10/14/2016,Winnipeg,153369,18024086,41.59%,38.68%,24.17%,17.19%,7496416,764790968,33.86,00:03:04,01:42:01,3.83
10/21/2016,Winnipeg,148106,17877633,42.32%,33.75%,22.34%,17.98%,7565896,779314857,33.8,00:03:06,01:43:00,3.8
10/28/2016,Winnipeg,141495,18000069,41.84%,33.75%,22.34%,17.98%,7531330,748966924,32.56,00:03:09,01:39:27,3.83
11/4/2016,Winnipeg,145961,17645166,41.60%,33.75%,22.34%,17.98%,7340772,682117174,30.91,00:03:08,01:32:55,3.8
11/11/2016,Winnipeg,154375,18421783,41.41%,34.76%,21.88%,17.98%,7628924,696967127,30.11,00:03:12,01:31:22,3.84
11/18/2016,Winnipeg,141865,18236327,41.39%,35.83%,21.39%,n/a,7547888,755535924,32.05,00:03:18,01:40:06,3.82
11/25/2016,Winnipeg,155189,18326601,41.96%,35.83%,21.39%,n/a,7689663,717423605,30.26,00:03:18,01:33:18,3.79
12/2/2016,Winnipeg,168275,18347640,41.28%,35.83%,21.39%,n/a,7573174,713762155,31.11,00:03:14,01:34:15,3.86
12/9/2016,Winnipeg,163929,18279619,41.58%,35.83%,21.39%,n/a,7600284,715646127,30.62,00:03:16,01:34:10,3.87
12/16/2016,Winnipeg,172105,18544772,41.12%,n/a,n/a,n/a,7626521,699272527,30.55,00:03:12,01:31:41,3.77
12/23/2016,Winnipeg,232198,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
1/1/2016,Xihu,77650,9250238,23.43%,30.95%,13.43%,8.61%,2167746,219921877,11.75,00:08:09,01:41:27,2.71
1/8/2016,Xihu,76936,9283323,23.23%,30.95%,13.43%,8.61%,2156144,230194301,14.4,00:07:09,01:46:46,2.7
1/15/2016,Xihu,82089,9315509,24.63%,31.61%,13.62%,9.26%,2294437,264633318,13.06,00:08:40,01:55:20,2.65
1/22/2016,Xihu,88125,9407954,22.69%,31.98%,13.73%,9.62%,2134826,252649038,12.45,00:09:21,01:58:21,2.67
1/29/2016,Xihu,79253,9484419,22.23%,31.98%,13.73%,9.62%,2108700,269879209,12.38,00:10:18,02:07:59,2.66
2/5/2016,Xihu,92291,9315199,21.71%,31.98%,13.73%,9.62%,2021876,264116489,13.45,00:09:33,02:10:38,2.79
2/12/2016,Xihu,97480,9470755,23.08%,30.73%,14.06%,9.21%,2185792,250488755,12.52,00:08:56,01:54:36,2.73
2/19/2016,Xihu,94312,9626134,22.36%,29.56%,14.37%,8.83%,2152158,274825572,12.92,00:09:38,02:07:42,2.76
2/26/2016,Xihu,83402,9673670,22.62%,29.56%,14.37%,8.83%,2188585,243742236,12.15,00:08:55,01:51:22,2.67
3/4/2016,Xihu,94051,9625176,21.90%,29.56%,14.37%,8.83%,2108008,253317151,13.11,00:09:08,02:00:10,2.81
3/11/2016,Xihu,128965,9724423,21.19%,29.56%,14.37%,8.83%,2060179,291275646,13.54,00:10:25,02:21:23,2.75
3/18/2016,Xihu,108255,9846407,23.65%,27.80%,14.73%,9.86%,2329008,319414921,12.95,00:10:39,02:17:09,2.71
3/25/2016,Xihu,100750,10000652,23.91%,27.80%,14.73%,9.86%,2390873,289704235,12.57,00:09:31,02:01:10,2.69
4/1/2016,Xihu,99301,10086812,23.69%,27.80%,14.73%,9.86%,2389661,261787965,11.81,00:09:08,01:49:33,2.65
4/8/2016,Xihu,103067,9976019,24.38%,27.80%,14.73%,9.86%,2432539,310987310,14.09,00:09:06,02:07:51,2.83
4/15/2016,Xihu,95193,10179310,23.31%,28.35%,14.40%,9.30%,2372921,254159607,12.85,00:08:06,01:47:06,2.78
4/22/2016,Xihu,94802,10307131,22.93%,28.99%,14.02%,8.66%,2363423,277003066,12.66,00:09:06,01:57:12,2.77
4/29/2016,Xihu,83850,10118112,24.89%,28.99%,14.02%,8.66%,2518021,283345938,12.76,00:08:46,01:52:32,2.72
5/6/2016,Xihu,86014,10165801,23.94%,28.99%,14.02%,8.66%,2434153,292957726,13.69,00:08:37,02:00:21,2.82
5/13/2016,Xihu,79809,9968340,24.07%,29.89%,12.85%,8.40%,2399327,301703313,13.72,00:09:09,02:05:45,2.84
5/20/2016,Xihu,85974,9980912,23.93%,30.69%,11.83%,8.17%,2388485,285742162,12.74,00:09:16,01:59:38,2.78
