Week starting,App,Downloads,Install Base,Open Rate,Retention D1,Retention D7,Retention D30,Active Users,Total Minutes,Avg Sessions Per User,Avg Session Duration,Avg Time Per User,Avg Active Days              
1/8/2016,Rhine,31414,1749396,11.91%,n/a,n/a,n/a,208421,1316738,4.65,00:01:40,00:06:19,2.09
1/15/2016,Rhine,30655,1909501,10.25%,n/a,n/a,n/a,195768,1290072,4.67,00:01:47,00:06:35,2.19
1/22/2016,Rhine,36375,1760682,11.61%,n/a,n/a,n/a,204457,1526429,4.72,00:01:55,00:07:28,2.26
1/29/2016,Rhine,34338,1998545,9.88%,n/a,n/a,n/a,197509,1387159,5.79,00:01:30,00:07:01,2.37
2/5/2016,Rhine,40887,1710934,12.33%,n/a,n/a,n/a,210910,1443178,4.59,00:01:45,00:06:51,1.83
2/12/2016,Rhine,33985,2117227,9.06%,n/a,n/a,n/a,191784,1176576,4.4,00:01:46,00:06:08,2.12
2/19/2016,Rhine,31837,1750524,11.87%,n/a,n/a,n/a,207712,1345193,4.43,00:01:47,00:06:29,2.39
2/26/2016,Rhine,28849,1728868,12.82%,n/a,n/a,n/a,221559,1296573,4.35,00:01:48,00:05:51,2.16
3/4/2016,Rhine,30292,1739973,12.58%,n/a,n/a,n/a,218871,1481443,4.29,00:01:34,00:06:46,1.87
3/11/2016,Rhine,45494,1643461,11.36%,n/a,n/a,n/a,186669,2166141,6.84,00:01:49,00:11:36,2.29
3/18/2016,Rhine,33638,1784308,10.29%,n/a,n/a,n/a,183619,938629,3.4,00:01:34,00:05:07,1.64
3/25/2016,Rhine,25432,1757404,11.13%,n/a,n/a,n/a,195640,1328355,5.22,00:01:18,00:06:47,1.66
4/1/2016,Rhine,25912,1722322,10.80%,n/a,n/a,n/a,186024,918619,3.45,00:01:29,00:04:56,1.8
4/8/2016,Rhine,26759,1736276,10.62%,n/a,n/a,n/a,184367,702048,3.24,00:01:28,00:03:48,1.77
4/15/2016,Rhine,25361,1787369,9.61%,n/a,n/a,n/a,171708,568207,2.44,00:01:36,00:03:19,1.6
4/22/2016,Rhine,23848,1636486,10.27%,n/a,n/a,n/a,168077,884301,3.99,00:01:20,00:05:16,1.58
4/29/2016,Rhine,22055,1551826,11.03%,n/a,n/a,n/a,171223,736143,3.59,00:01:15,00:04:18,2.12
5/6/2016,Rhine,23331,1559471,11.36%,n/a,n/a,n/a,177225,818288,3.43,00:01:23,00:04:37,1.62
5/13/2016,Rhine,25176,1704952,9.89%,n/a,n/a,n/a,168683,1056010,7.4,00:01:00,00:06:16,1.87
5/20/2016,Rhine,28224,1657041,9.96%,n/a,n/a,n/a,165004,2087683,5.95,00:02:10,00:12:39,2.33
5/27/2016,Rhine,34253,1626735,10.02%,n/a,n/a,n/a,162935,1020098,4.69,00:01:22,00:06:16,1.68
6/3/2016,Rhine,25137,1550473,10.11%,n/a,n/a,n/a,156725,867606,4.94,00:01:08,00:05:32,1.98
6/10/2016,Rhine,27026,1752108,7.81%,n/a,n/a,n/a,136811,710911,3.01,00:01:47,00:05:12,1.77
